"","ntree","rmse"
"1",1,45829.0393998509
"2",3,44533.3012409882
"3",5,37742.655760048
"4",7,34914.5303021083
"5",9,34103.6872420147
"6",11,32189.0417299509
"7",13,32476.3614949075
"8",15,31241.939033126
"9",17,29805.8306741826
"10",19,29179.7169465259
"11",21,29086.733204219
"12",23,29037.4362232117
"13",25,28924.4759764614
"14",27,28556.0727000406
"15",29,28687.8810237285
"16",31,28528.3173923047
"17",33,28743.8184087055
"18",35,28433.5800650135
"19",37,28475.5857749171
"20",39,28444.8078737159
"21",41,28277.9481202931
"22",43,28033.2857041173
"23",45,27595.8005861468
"24",47,27387.5760834822
"25",49,27183.4129865885
"26",51,27159.2448495737
"27",53,26958.5228101033
"28",55,27070.3894039634
"29",57,26953.6604157541
"30",59,26855.0784314083
"31",61,26689.6532817656
"32",63,26601.9836053987
"33",65,26425.4045799217
"34",67,26478.6984857069
"35",69,26444.255221126
"36",71,26421.4998566106
"37",73,26221.889855451
"38",75,26100.0968322749
"39",77,26125.7617535793
"40",79,26155.5831230912
"41",81,26040.7020965777
"42",83,26023.7340719517
"43",85,25954.385958118
"44",87,25869.1099400988
"45",89,26036.2467670292
"46",91,26080.3365650141
"47",93,26105.1257863438
"48",95,26027.8195687343
"49",97,26037.8697036965
"50",99,25986.7681765523
"51",101,25954.2931388233
"52",103,25905.0283025605
"53",105,25900.1181243431
"54",107,25901.3052658015
"55",109,25851.5678295438
"56",111,25870.6514043825
"57",113,25771.8930537595
"58",115,25747.8085850804
"59",117,25696.4444529618
"60",119,25628.2748162134
"61",121,25641.3443353101
"62",123,25665.8965515958
"63",125,25729.5166938329
"64",127,25724.2498515771
"65",129,25743.0641612806
"66",131,25878.8621085813
"67",133,25888.5759163677
"68",135,25888.4686038826
"69",137,25879.1779169792
"70",139,25881.0454672148
"71",141,25825.2827222448
"72",143,25753.6131990872
"73",145,25713.4403697607
"74",147,25696.0185707178
"75",149,25618.0128931986
"76",151,25663.4849037864
"77",153,25648.4149291379
"78",155,25627.2494035126
"79",157,25598.3744580316
"80",159,25559.7986111023
"81",161,25557.4777360224
"82",163,25495.2668301766
"83",165,25471.5969946632
"84",167,25645.3102224311
"85",169,25673.2367713187
"86",171,25650.0601452748
"87",173,25625.255459016
"88",175,25637.1336781021
"89",177,25632.1714193515
"90",179,25612.9215665433
"91",181,25582.5621002837
"92",183,25556.1296932936
"93",185,25522.6146805336
"94",187,25468.9394040682
"95",189,25507.3794479779
"96",191,25492.1613502103
"97",193,25481.6708915185
"98",195,25524.9219650961
"99",197,25502.9491949801
"100",199,25484.3557990063
