key,average_activation
C74,0.7536018937018681
C43,0.7119174246016627
C14,0.6442005172500123
C82,0.49365268273394014
C35,0.4904729261049124
C78,0.37188482560721126
C67,0.3631146362421179
C59,0.36037282308633667
C60,0.35176314165820294
C55,0.3347670724904817
C95,0.2788756755872087
C96,0.2738159840321632
C90,0.26074105856556973
C42,0.2588164296231642
C46,0.25520320296959675
C79,0.234729652840394
C93,0.21943044506268802
C94,0.19536125623392778
C56,0.17487766753021713
C40,0.1740375629696092
C12,0.1633615541231214
C22,0.16052778311459087
C54,0.13247712396621472
C85,0.12848602139178467
C15,0.09976067924833452
C70,0.07425373023877217
C64,0.07200970628959359
C8,0.06757375950064426
C99,0.06116393592067607
C51,0.05556126784981268
C97,0.053939199683312865
C25,0.05306548178426313
C65,0.05149307719880052
C7,0.00872300050020716
C75,-0.028299931799872523
C80,-0.031909910824421975
C68,-0.034180771714607504
C48,-0.03929402459626287
C18,-0.05397970624828411
C84,-0.05433799515278356
C36,-0.057410971009973465
C13,-0.05900597213931548
C32,-0.06855974624793634
C61,-0.07324171166434112
C19,-0.07334414809623797
C37,-0.07410629577329204
C33,-0.07670248455476332
C89,-0.09401707766001814
C91,-0.09678241482776337
C16,-0.09771017070857156
C87,-0.12446559112168959
C27,-0.1275660782391445
C38,-0.15089864031819752
C72,-0.15906752726387607
C100,-0.16035646629738579
C2,-0.16673458633939547
C44,-0.17346984869612145
C52,-0.17450459557334894
C26,-0.17646029682003905
C50,-0.19156034972964991
C23,-0.20155032917755547
C6,-0.20509254413979028
C45,-0.20798425450582547
C17,-0.2929451771280098
C31,-0.2939096696278932
C92,-0.29876078388573324
C66,-0.30132687414344744
C11,-0.30171442398619996
C69,-0.30538162645552447
C81,-0.3177848529190645
C49,-0.319826350001336
C1,-0.34737616514633646
C3,-0.34790846666535274
C83,-0.3509536451942863
C24,-0.36612479727546027
C10,-0.3714324590742164
C71,-0.3748020822819746
C53,-0.37483551649857144
C88,-0.3755132754198663
C98,-0.38930003087826565
C47,-0.38996734716174686
C29,-0.3958683223193435
C30,-0.40344783273911244
C34,-0.4099721001438166
C4,-0.41794157130476245
C39,-0.43010586546924334
C76,-0.4542203754636211
C58,-0.45903325753718793
C86,-0.4626976037577878
C77,-0.4805734103083163
C28,-0.4924934228543433
C21,-0.5386153626250737
C41,-0.5430155460726559
C73,-0.561227803581909
C62,-0.5945028132152984
C5,-0.6003571512091139
C20,-0.6205040346579183
C9,-0.6408642851048073
C57,-0.6672124115309521
C63,-0.6955596442433656
