key,average_activation
C74,-0.07081520862538221
C14,-0.13391006590581978
C54,-0.17717932435692801
C43,-0.2348324583326452
C99,-0.24358293961057031
C93,-0.25839002495394564
C46,-0.2587217442450751
C52,-0.2943548588567966
C60,-0.2958600895849875
C59,-0.30389559293662827
C32,-0.3084775772542116
C94,-0.3157997012636764
C70,-0.3217857990945823
C31,-0.33495763551927804
C56,-0.3363500353490859
C35,-0.34148205994362196
C26,-0.3424654643822495
C91,-0.3445797024408043
C27,-0.35048648502364577
C90,-0.3507389284334277
C72,-0.35167510260499985
C25,-0.35364108321009036
C64,-0.35597067702577123
C30,-0.3662237562057096
C55,-0.369950907540965
C96,-0.37470967999193644
C83,-0.3771399471859753
C33,-0.38083901830296507
C38,-0.38100087968561375
C40,-0.3860568913579415
C6,-0.39298234820775807
C80,-0.3965735550329276
C12,-0.39808417813215674
C61,-0.3982402423681919
C78,-0.3997254592709742
C8,-0.40255303534188497
C79,-0.40314188198374423
C22,-0.4037785006036548
C7,-0.40393154915436674
C68,-0.40408549281115785
C18,-0.4056630342866682
C19,-0.41123586214520597
C71,-0.414372176541076
C82,-0.4161071242272763
C20,-0.41917520232514766
C10,-0.430408134244095
C65,-0.43099512397478057
C42,-0.43244963303586176
C15,-0.43287192088854315
C50,-0.43573942154390816
C39,-0.4395487734767699
C67,-0.4415884549036722
C75,-0.44556886248931504
C44,-0.4476890723560725
C95,-0.4509861224428001
C85,-0.45166236680802996
C16,-0.4567428799562857
C53,-0.4570140182039078
C48,-0.4629474409853797
C77,-0.4769621552212602
C23,-0.47778404540017977
C81,-0.4792683038042009
C87,-0.48180996441117657
C58,-0.49447986974178987
C2,-0.49718395216686306
C37,-0.5004518935372084
C66,-0.5011484224270443
C36,-0.5054066210576917
C21,-0.5056701784169692
C89,-0.5076638877271877
C57,-0.5117615111886772
C97,-0.5256650982625282
C100,-0.5300266849501886
C1,-0.5302617448326005
C5,-0.5322526200242716
C98,-0.5335018259565508
C49,-0.5335263466420948
C47,-0.5366451591308067
C45,-0.5410976653715664
C3,-0.5434139970928082
C4,-0.5447744480404528
C92,-0.5449233719314431
C17,-0.5484792580796323
C13,-0.5520361008509446
C34,-0.5609936629951722
C28,-0.5645599200305558
C76,-0.5869683065068018
C86,-0.5898449314170979
C63,-0.5898592210796764
C41,-0.592061055430609
C73,-0.5942483323566033
C88,-0.5965615397429361
C24,-0.6053662445287252
C11,-0.6056110892001082
C62,-0.6064286418475391
C84,-0.6221278118925015
C29,-0.6272942873472624
C9,-0.6296558417526187
C69,-0.6907044341625383
C51,-0.7299921320892507
